"PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","Titles","last_name","iTitles","Family_size","logFare","cabin_l","ticket_t"
1,"0",3,"Braund, Mr. Owen Harris",1,22,1,0,"A/5 21171",7.25,"",3,"Mr","Braund",4,1,1.98100146886658,"",1
2,"1",1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,38,1,0,"PC 17599",71.2833,"C85",1,"Mrs","Cumings",5,1,4.26666207838721,"C",11
3,"1",3,"Heikkinen, Miss. Laina",0,26,0,0,"STON/O2. 3101282",7.925,"",3,"Miss","Heikkinen",3,0,2.07002231976334,"",19
4,"1",1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,35,1,0,"113803",53.1,"C123",3,"Mrs","Futrelle",5,1,3.97217692824789,"C",9
5,"0",3,"Allen, Mr. William Henry",1,35,0,0,"373450",8.05,"",3,"Mr","Allen",4,0,2.08567209143047,"",9
6,"0",3,"Moran, Mr. James",1,29,0,0,"330877",8.4583,"",2,"Mr","Moran",4,0,2.13514820779938,"",9
7,"0",1,"McCarthy, Mr. Timothy J",1,54,0,0,"17463",51.8625,"E46",3,"Mr","McCarthy",4,0,3.94859598565899,"E",9
8,"0",3,"Palsson, Master. Gosta Leonard",1,2,3,1,"349909",21.075,"",3,"Master","Palsson",1,4,3.04808750388792,"",9
9,"1",3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,27,0,2,"347742",11.1333,"",3,"Mrs","Johnson",5,2,2.40994061729809,"",9
10,"1",2,"Nasser, Mrs. Nicholas (Adele Achem)",0,14,1,0,"237736",30.0708,"",1,"Mrs","Nasser",5,1,3.40355460123583,"",9
11,"1",3,"Sandstrom, Miss. Marguerite Rut",0,4,1,1,"PP 9549",16.7,"G6",3,"Miss","Sandstrom",3,2,2.81540871942271,"G",10
12,"1",1,"Bonnell, Miss. Elizabeth",0,58,0,0,"113783",26.55,"C103",3,"Miss","Bonnell",3,0,3.27902974768795,"C",9
13,"0",3,"Saundercock, Mr. William Henry",1,20,0,0,"A/5. 2151",8.05,"",3,"Mr","Saundercock",4,0,2.08567209143047,"",1
14,"0",3,"Andersson, Mr. Anders Johan",1,39,1,5,"347082",31.275,"",3,"Mr","Andersson",4,4,3.44281905635297,"",9
15,"0",3,"Vestrom, Miss. Hulda Amanda Adolfina",0,14,0,0,"350406",7.8542,"",3,"Miss","Vestrom",3,0,2.06104842056294,"",9
16,"1",2,"Hewlett, Mrs. (Mary D Kingcome) ",0,55,0,0,"248706",16,"",3,"Mrs","Hewlett",5,0,2.77258872223978,"",9
17,"0",3,"Rice, Master. Eugene",1,2,4,1,"382652",29.125,"",2,"Master","Rice",1,4,3.37159691188586,"",9
18,"1",2,"Williams, Mr. Charles Eugene",1,29,0,0,"244373",13,"",3,"Mr","Williams",4,0,2.56494935746154,"",9
19,"0",3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,31,1,0,"345763",18,"",3,"Mrs","Vander Planke",5,1,2.89037175789616,"",9
20,"1",3,"Masselmani, Mrs. Fatima",0,32.437326038204,0,0,"2649",7.225,"",1,"Mrs","Masselmani",5,0,1.9775472339985,"",9
